CB Link ID,Boro,Community Board,Latitude,Longitude,Link Installation Status,Smallest PPT,Street Address,Kiosk Bearing,Boro ID,Link Site ID,Link Smoke Tested and Activated (A),Link Installation (A),Location
LINK-007143,Manhattan,107,40.777227000000003,-73.982776999999999,A - Link Live,121203,222 AMSTERDAM AVE,74 E,NY-MN,mn-07-121203,8/3/16,07/19/2016,"(40.777227000000003, -73.982776999999999)"
LINK-007144,Manhattan,107,40.776530000000001,-73.983014999999995,A - Link Live,121191,197 AMSTERDAM AVE,301 NW,NY-MN,mn-07-121191,10/7/16,08/19/2016,"(40.776530000000001, -73.983014999999995)"
LINK-007145,Manhattan,107,40.775998999999999,-73.983247000000006,A - Link Live,138046,155 WEST 68 STREET,214 SW,NY-MN,mn-07-138046,7/21/16,07/15/2016,"(40.775998999999999, -73.983247000000006)"
LINK-007147,Manhattan,107,40.776066,-73.983626999999998,A - Link Live,121193,174 AMSTERDAM AVE,114 SE,NY-MN,mn-07-121193,7/20/16,07/13/2016,"(40.776066, -73.983626999999998)"
LINK-007148,Manhattan,105,40.766668665434999,-73.979396196933905,A - Link Live,122633,936 7TH AVENUE,139 SE,NY-MN,mn-05-122633,10/25/16,09/18/2016,"(40.766668665434999, -73.979396196933905)"
LINK-007149,Manhattan,105,40.764006000000002,-73.984741999999997,A - Link Live,122608,888 8 AVENUE,47 NE,NY-MN,mn-05-122608,11/21/16,10/15/2016,"(40.764006000000002, -73.984741999999997)"
LINK-007150,Manhattan,105,40.763610999999997,-73.984976000000003,A - Link Live,122609,870 8TH AVENUE,254 W,NY-MN,mn-05-122609,11/16/16,10/01/2016,"(40.763610999999997, -73.984976000000003)"
LINK-007299,Manhattan,106,40.749301000000003,-73.974817999999999,A - Link Live,138062,201 EAST 40 STREET,194 S,NY-MN,mn-06-138062,12/9/16,11/19/2016,"(40.749301000000003, -73.974817999999999)"
LINK-007876,Manhattan,108,40.773006000000002,-73.958068999999995,A - Link Live,120996,1349 3 AVENUE,306 NW,NY-MN,mn-08-120996,7/19/16,07/08/2016,"(40.773006000000002, -73.958068999999995)"
LINK-008200,Manhattan,102,40.725335000000001,-74.007553999999999,A - Link Live,123595,284 HUDSON STREET,294 NW,NY-MN,mn-02-123595,12/29/16,11/17/2016,"(40.725335000000001, -74.007553999999999)"
LINK-008211,Manhattan,105,40.748482000000003,-73.996011999999993,A - Link Live,122680,362 8 AVENUE,323 NW,NY-MN,mn-05-122680,12/14/16,09/22/2016,"(40.748482000000003, -73.996011999999993)"
LINK-008221,Manhattan,103,40.729830999999997,-73.986659000000003,A - Link Live,123268,160 2 AVENUE,317 NW,NY-MN,mn-03-123268,10/27/16,09/18/2016,"(40.729830999999997, -73.986659000000003)"
LINK-008224,Manhattan,103,40.731014999999999,-73.988685000000004,A - Link Live,138508,55 3 AVENUE,280 W,NY-MN,mn-03-138508,10/27/16,09/18/2016,"(40.731014999999999, -73.988685000000004)"
LINK-008226,Manhattan,103,40.731777000000001,-73.988135999999997,A - Link Live,133516,83 3 AVENUE,292 W,NY-MN,mn-03-133516,12/2/16,11/05/2016,"(40.731777000000001, -73.988135999999997)"
LINK-008229,Manhattan,103,40.721425000000004,-73.993454,A - Link Live,100726,211 BOWERY,264 W,NY-MN,mn-03-100726,8/19/16,07/22/2016,"(40.721425000000004, -73.993454)"
LINK-008230,Manhattan,103,40.717923999999996,-73.994956000000002,A - Link Live,108422,113 BOWERY,299 NW,NY-MN,mn-03-108422,9/19/16,08/11/2016,"(40.717923999999996, -73.994956000000002)"
LINK-008245,Manhattan,103,40.730232000000001,-73.989262999999994,A - Link Live,138537,35 3 AVENUE,315 NW,NY-MN,mn-03-138537,10/21/16,09/18/2016,"(40.730232000000001, -73.989262999999994)"
LINK-008295,Manhattan,103,40.719214999999998,-73.989850000000004,A - Link Live,123367,84 DELANCEY STREET,155 SE,NY-MN,mn-03-123367,12/28/16,11/14/2016,"(40.719214999999998, -73.989850000000004)"
LINK-008590,Manhattan,102,40.736387000000001,-73.994742000000002,A - Link Live,123542,18 WEST 14 STREET,38 NE,NY-MN,mn-02-123542,12/28/16,10/01/2016,"(40.736387000000001, -73.994742000000002)"
LINK-008689,Manhattan,105,40.748620000000003,-73.992500000000007,A - Link Live,122442,362 7 AVENUE,108 E,NY-MN,mn-05-122442,12/9/16,10/08/2016,"(40.748620000000003, -73.992500000000007)"
LINK-008695,Manhattan,105,40.74597,-73.994038000000003,A - Link Live,123662,179 WEST 26 STREET,216 SW,NY-MN,mn-05-123662,1/18/17,11/23/2016,"(40.74597, -73.994038000000003)"
LINK-008837,Manhattan,105,40.744742000000002,-73.985366999999997,A - Link Live,121634,15 EAST 29 STREET,195 S,NY-MN,mn-05-121634,11/21/16,10/29/2016,"(40.744742000000002, -73.985366999999997)"
LINK-008838,Manhattan,105,40.745125999999999,-73.984639000000001,A - Link Live,144509,28 EAST 30 STREET,5 N,NY-MN,mn-05-144509,11/21/16,10/01/2016,"(40.745125999999999, -73.984639000000001)"
LINK-008842,Manhattan,105,40.747118,-73.985242,A - Link Live,121611,1 EAST 32 STREET,197 S,NY-MN,mn-05-121611,12/9/16,10/01/2016,"(40.747118, -73.985242)"
LINK-009918,Manhattan,105,40.750489999999999,-73.991134000000002,A - Link Live,122446,430 7TH AVENUE,147 SE,NY-MN,mn-05-122446,1/18/17,10/08/2016,"(40.750489999999999, -73.991134000000002)"
LINK-010191,Manhattan,111,40.800438146693502,-73.946464845876505,A - Link Live,100223,1413 5 AVENUE,311 NW,NY-MN,mn-11-100223,1/25/17,10/15/2016,"(40.800438146693502, -73.946464845876505)"
LINK-010216,Manhattan,110,40.807324994186899,-73.952810448005593,A - Link Live,102771,218 ST NICHOLAS AVENUE,266 W,NY-MN,mn-10-102771,11/7/16,10/03/2016,"(40.807324994186899, -73.952810448005593)"
LINK-010262,Manhattan,110,40.812660999999999,-73.949501999999995,A - Link Live,111709,2407 FREDERICK DOUGLASS BLVD,96 E,NY-MN,mn-10-111709,11/16/16,10/14/2016,"(40.812660999999999, -73.949501999999995)"
LINK-010287,Bronx,205,40.854351999999999,-73.910235,A - Link Live,113539,70 WEST BURNSIDE AVENUE,10 N,NY-BX,bx-05-113539,1/17/17,12/06/2016,"(40.854351999999999, -73.910235)"
LINK-010317,Bronx,205,40.853763999999998,-73.907899,A - Link Live,111414,8 WEST BURNSIDE AVENUE,347 N,NY-BX,bx-05-111414,1/17/17,12/06/2016,"(40.853763999999998, -73.907899)"
LINK-010341,Manhattan,110,40.8094399844816,-73.951847048004396,A - Link Live,142812,2307 FREDERICK DOUGLASS BLVD,116 SE,NY-MN,mn-10-142812,10/14/16,09/17/2016,"(40.8094399844816, -73.951847048004396)"
LINK-010346,Manhattan,110,40.809268699902802,-73.951709110754194,A - Link Live,142813,2306 FREDERICK DOUGLASS BLVD,294 NW,NY-MN,mn-10-142813,10/14/16,09/24/2016,"(40.809268699902802, -73.951709110754194)"
LINK-010349,Manhattan,110,40.811967600588602,-73.9459029693042,A - Link Live,142513,2197 ADAM CLAYTON POWELL JR BOULEVARD,250 W,NY-MN,mn-10-142513,12/16/16,10/29/2016,"(40.811967600588602, -73.9459029693042)"
LINK-010356,Manhattan,110,40.814869999999999,-73.947891999999996,A - Link Live,142855,2480 FREDERICK DOUGLASS BOULEVARD,305 NW,NY-MN,mn-10-142855,10/25/16,09/17/2016,"(40.814869999999999, -73.947891999999996)"
LINK-010357,Manhattan,110,40.808988449936201,-73.952129999999997,A - Link Live,142814,2293 FREDERICK DOUGLASS BLVD,126 SE,NY-MN,mn-10-142814,11/2/16,10/14/2016,"(40.808988449936201, -73.952129999999997)"
LINK-010367,Manhattan,108,40.778483979999997,-73.95320529,A - Link Live,128743,228 EAST 86 STREET,8 N,NY-MN,mn-08-128743,2/1/17,11/04/2016,"(40.778483979999997, -73.95320529)"
LINK-010406,Manhattan,110,40.810074999999998,-73.951250439999995,A - Link Live,142632,2327 FREDERICK DOUGLASS BLVD,114 SE,NY-MN,mn-10-142632,10/14/16,09/24/2016,"(40.810074999999998, -73.951250439999995)"
LINK-010460,Bronx,201,40.817950321600101,-73.915322620739502,A - Link Live,109413,2939 3 AVENUE,121 SE,NY-BX,bx-01-109413,12/22/16,10/22/2016,"(40.817950321600101, -73.915322620739502)"
LINK-010750,Manhattan,102,40.730270626602902,-74.006626171225903,A - Link Live,123600,1 ST LUKES PLACE,180 S,NY-MN,mn-02-123600,1/26/17,11/13/2016,"(40.730270626602902, -74.006626171225903)"
LINK-010797,Manhattan,107,40.792663730000001,-73.971389919999993,A - Link Live,120611,700 AMSTERDAM AVE,108 E,NY-MN,mn-07-120611,12/20/16,11/02/2016,"(40.792663730000001, -73.971389919999993)"
LINK-010802,Manhattan,103,40.721772999999999,-73.989420999999993,A - Link Live,123464,70 STANTON ST,205 SW,NY-MN,mn-03-123464,1/6/17,11/17/2016,"(40.721772999999999, -73.989420999999993)"
LINK-010843,Manhattan,102,40.732309000000001,-74.006427000000002,A - Link Live,123611,482 HUDSON STREET,303 NW,NY-MN,mn-02-123611,1/18/17,11/05/2016,"(40.732309000000001, -74.006427000000002)"
LINK-010872,Manhattan,103,40.719593449999998,-73.989466059999998,A - Link Live,137963,122B ORCHARD ST,331 NW,NY-MN,mn-03-137963,12/28/16,11/04/2016,"(40.719593449999998, -73.989466059999998)"
LINK-010897,Manhattan,111,40.800777137997002,-73.946230882336707,A - Link Live,120070,1421 5 AVENUE,34 NE,NY-MN,mn-11-120070,1/25/17,10/15/2016,"(40.800777137997002, -73.946230882336707)"
LINK-010933,Manhattan,107,40.802979000000001,-73.967859000000004,A - Link Live,120267,300 West 108th ST,3N,NY-MN,mn-07-120267,10/25/16,10/08/2016,"(40.802979000000001, -73.967859000000004)"
